Group no.	Hierarchy level	RDA element	Element name									Occurrence count	Hierarchical consistency code: Code 1	Code 2	Code 3	DC term							
1	7							rdae:P20562	mixing engineer family			15	1		1	dct:contributor							
1	7							rdae:P20563	recording engineer family			15	1		1	dct:contributor							
1	6						rdae:P20526	DJ family				10	1		1	dct:contributor							
1	6						rdae:P20527	art director family				10	1		1	dct:contributor							
1	6						rdae:P20528	performer family				10	1		1	dct:contributor							
1	7							rdae:P20546	actor family			15	1		1	dct:contributor							
1	7							rdae:P20547	onscreen presenter family			15	1		1	dct:contributor							
1	7							rdae:P20548	dancer family			15	1		1	dct:contributor							
1	7							rdae:P20549	host family			15	1		1	dct:contributor							
1	7							rdae:P20550	moderator family			15	1		1	dct:contributor							
1	7							rdae:P20551	puppeteer family			15	1		1	dct:contributor							
1	7							rdae:P20552	panelist family			15	1		1	dct:contributor							
1	7							rdae:P20553	instrumentalist family			15	1		1	dct:contributor							
1	7							rdae:P20554	commentator family			15	1		1	dct:contributor							
1	7							rdae:P20555	narrator family			15	1		1	dct:contributor							
1	7							rdae:P20556	storyteller family			15	1		1	dct:contributor							
1	7							rdae:P20557	speaker family			15	1		1	dct:contributor							
1	7							rdae:P20558	instructor family			15	1		1	dct:contributor							
1	7							rdae:P20559	singer family			15	1		1	dct:contributor							
1	7							rdae:P20560	conductor family			15	1		1	dct:contributor							
1	8								rdae:P20513	choral conductor family		21	1		1	dct:contributor							
1	8								rdae:P20545	instrumental conductor family		21	1		1	dct:contributor							
1	7							rdae:P20565	presenter family			15	1		1	dct:contributor							
1	6						rdae:P20531	interviewee family of expression				10	1		1	dct:contributor							
1	6						rdae:P20535	recordist family				10	1		1	dct:contributor							
1	6						rdae:P20537	special effects provider family				10	1		1	dct:contributor							
1	6						rdae:P20538	visual effects provider family				10	1		1	dct:contributor							
1	6						rdae:P20539	music programmer family				10	1		1	dct:contributor							
1	6						rdae:P20540	onscreen participant family				10	1		1	dct:contributor							
1	6						rdae:P20541	stage director family				10	1		1	dct:contributor							
1	6						rdae:P20567	editor family of moving image work				10	1		1	dct:contributor							
1	6						rdae:P20568	production designer family				10	1		1	dct:contributor							
1	6						rdae:P20570	dubbing director family				10	1		1	dct:contributor							
1	6						rdae:P20571	animator family				10	1		1	dct:contributor							
1	5					rdae:P20564	letterer family					6	1		1	dct:contributor							
1	5					rdae:P20569	minute taker family					6	1		1	dct:contributor							
2	1	rdae:P20152	adaptation of expression									1	0		0	dct:hasVersion							
2	2		rdae:P20123	dramatization of expression								1	3		3		*dct:isVersionOf						
2	2		rdae:P20124	verse adaptation of expression								1	3		3		*dct:isVersionOf						
2	2		rdae:P20125	motion picture adaptation of expression								1	3		3		*dct:isVersionOf						
2	2		rdae:P20126	novelization of expression								1	3		3		*dct:isVersionOf						
2	2		rdae:P20127	radio adaptation of expression								1	3		3		*dct:isVersionOf						
2	2		rdae:P20128	television adaptation of expression								1	3		3		*dct:isVersionOf						
2	2		rdae:P20129	screenplay based on expression								1	3		3		*dct:isVersionOf						
2	3			rdae:P20130	motion picture screenplay based on expression							1	1		1		dct:isVersionOf						
2	3			rdae:P20131	television screenplay based on expression							1	1		1		dct:isVersionOf						
2	3			rdae:P20132	video screenplay based on expression							1	1		1		dct:isVersionOf						
2	2		rdae:P20133	radio script based on expression								1	3		3		*dct:isVersionOf						
2	2		rdae:P20134	video adaptation of expression								1	3		3		*dct:isVersionOf						
2	2		rdae:P20190	libretto based on expression								1	3		3		*dct:isVersionOf						
2	2		rdae:P20239	musical theatre adaptation of expression								1	3		3		*dct:isVersionOf						
2	2		rdae:P20240	opera adaptation of expression								1	3		3		*dct:isVersionOf						
2	2		rdae:P20256	graphic novelization of expression								1	3		3		*dct:isVersionOf						
2	2		rdae:P20281	oratorio adaptation of expression								1	3		3		*dct:isVersionOf						
3	1	rdae:P20195	imitation of expression									1	0		0	dct:isVersionOf							
3	2		rdae:P20196	parody of expression								1	1		1	dct:isVersionOf							
4	1	rdae:P20205	related expression of expression									1	0		0	dct:relation							
4	2		rdae:P20074	part of expression								1	1		1		dct:isPartOf						
4	2		rdae:P20145	part expression								1	1		1			dct:hasPart					
4	2		rdae:P20169	succeeded by expression								1	1		1				dct:isReplacedBy				
4	3			rdae:P20075	replaced in part by expression							1	1		1				dct:isReplacedBy				
4	3			rdae:P20076	replaced by expression							1	1		1				dct:isReplacedBy				
4	3			rdae:P20101	separated into expression							1	3		1					*dct:isVersionOf			
4	3			rdae:P20143	absorbed by expression							1	1		1				dct:isReplacedBy				
4	3			rdae:P20144	absorbed in part by expression							1	1		1				dct:isReplacedBy				
4	2		rdae:P20203	expression of derivative work								1	1		1						dct:hasVersion		
4	3			rdae:P20082	modified by variation as expression							1	3		1					*dct:isVersionOf			
4	3			rdae:P20087	set to music as expression							1	1		1						dct:hasVersion		
4	3			rdae:P20090	abstracted in expression							1	3		3							*dct:abstract	
4	3			rdae:P20114	imitated as expression							1	1		1						dct:hasVersion		
4	4				rdae:P20142	parodied as expression						1	1		1						dct:hasVersion		
4	3			rdae:P20119	freely translated as expression							1	3		1					*dct:isVersionOf			
4	3			rdae:P20153	adapted as expression							1	1		1						dct:hasVersion		
4	4				rdae:P20009	adapted as motion picture expression						1	1		1						dct:hasVersion		
4	4				rdae:P20060	adapted as radio program expression						1	1		1						dct:hasVersion		
4	4				rdae:P20066	adapted as television program expression						1	1		1						dct:hasVersion		
4	4				rdae:P20067	adapted as video expression						1	1		1						dct:hasVersion		
4	4				rdae:P20073	dramatized as expression						1	1		1						dct:hasVersion		
4	4				rdae:P20077	adapted in verse as expression						1	1		1						dct:hasVersion		
4	4				rdae:P20088	adapted as novel expression						1	1		1						dct:hasVersion		
4	4				rdae:P20092	adapted as choreography expression						1	1		1						dct:hasVersion		
4	4				rdae:P20096	adapted as screenplay expression						1	1		1						dct:hasVersion		
4	5					rdae:P20095	adapted as motion picture screenplay expression					1	1		1						dct:hasVersion		
4	5					rdae:P20097	adapted as television screenplay expression					1	1		1						dct:hasVersion		
4	5					rdae:P20098	adapted as video screenplay expression					1	1		1						dct:hasVersion		
4	4				rdae:P20099	adapted as radio script expression						1	1		1						dct:hasVersion		
4	4				rdae:P20110	adapted as libretto expression						1	1		1						dct:hasVersion		
4	4				rdae:P20241	adapted as musical theatre expression						1	1		1						dct:hasVersion		
4	4				rdae:P20242	adapted as opera expression						1	1		1						dct:hasVersion		
4	4				rdae:P20255	adapted as graphic novel expression						1	1		1						dct:hasVersion		
4	4				rdae:P20282	adapted as oratorio expression						1	1		1						dct:hasVersion		
4	3			rdae:P20166	abridged as expression							1	1		1						dct:hasVersion		
4	3			rdae:P20170	digested as expression							1	1		1						dct:hasVersion		
4	2		rdae:P20574	source expression								1	1		1					dct:isVersionOf			
4	3			rdae:P20139	arrangement of							1	1		1					dct:isVersionOf			
4	3			rdae:P20141	translation of							1	1		1					dct:isVersionOf			
4	4				rdae:P20078	dubbed version of						1	1		1					dct:isVersionOf			
4	3			rdae:P20189	revision of							1	1		1					dct:isVersionOf			
4	2		rdae:P20575	derivative expression								1	1		1						dct:hasVersion		
4	3			rdae:P20165	arranged as							1	1		1						dct:hasVersion		
4	3			rdae:P20171	translated as							1	1		1						dct:hasVersion		
4	4				rdae:P20079	dubbed version						1	1		1						dct:hasVersion		
4	3			rdae:P20211	revised as							1	1		1						dct:hasVersion		
5	1	rdae:P20214	date of expression									1	0		0	dct:date							
5	2		rdae:P20004	date of capture								1	1		1	dct:date							
6	1	rdae:P20310	access point for expression									1	0		0	dct:title							
6	2		rdae:P20313	authorized access point for expression								1	1		1	dct:title							
6	2		rdae:P20314	variant access point for expression								1	1		1	dct:title							
7	1	rdae:P20312	title of expression									1	0		0	dct:title							
7	2		rdae:P20315	preferred title of expression								1	1		1	dct:title							
7	2		rdae:P20316	variant title of expression								1	1		1	dct:title							
8	1	rdae:P20321	extent of expression									1	0		0	dct:extent							
8	2		rdae:P20219	duration								1	1		1	dct:extent							
9	1	rdai:P40071	related manifestation of item									1	0		0	dct:relation							
9	2		rdai:P40092	reproduced as item								1	1		1		dct:hasFormat						
9	3			rdai:P40088	electronic reproduction of item							1	1		1		dct:hasFormat						
9	3			rdai:P40091	reprinted as item							1	1		1		dct:hasFormat						
10	1	rdai:P40080	access point for item									1	0		0	dct:title							
10	2		rdai:P40083	authorized access point for item								1	1		1	dct:title							
10	2		rdai:P40084	variant access point for item								1	1		1	dct:title							
11	1	rdai:P40082	title of item									1	0		0	dct:title							
11	2		rdai:P40085	preferred title of item								1	1		1	dct:title							
11	2		rdai:P40086	variant title of item								1	1		1	dct:title							
12	1	rdai:P40093	modifier agent									1	0		0	dct:contributor							
12	2		rdai:P40012	illuminator agent								1	1		1	dct:contributor							
12	3			rdai:P40100	illuminator person							2	1		1	dct:contributor							
12	3			rdai:P40116	illuminator collective agent							2	1		1	dct:contributor							
12	4				rdai:P40132	illuminator corporate body						3	1		1	dct:contributor							
12	4				rdai:P40148	illuminator family						3	1		1	dct:contributor							
12	2		rdai:P40024	restorationist agent of item								1	1		1	dct:contributor							
12	3			rdai:P40111	restorationist person of item							2	1		1	dct:contributor							
12	3			rdai:P40127	restorationist collective agent of item							2	1		1	dct:contributor							
12	4				rdai:P40143	restorationist corporate body of item						3	1		1	dct:contributor							
12	4				rdai:P40159	restorationist family of item						3	1		1	dct:contributor							
12	2		rdai:P40112	modifier person								1	1		1	dct:contributor							
12	3			rdai:P40014	inscriber							1	1		1	dct:contributor							
12	3			rdai:P40100	illuminator person							2	1		1	dct:contributor							
12	3			rdai:P40111	restorationist person of item							2	1		1	dct:contributor							
12	2		rdai:P40128	modifier collective agent								1	1		1	dct:contributor							
12	3			rdai:P40116	illuminator collective agent							2	1		1	dct:contributor							
12	4				rdai:P40132	illuminator corporate body						3	1		1	dct:contributor							
12	4				rdai:P40148	illuminator family						3	1		1	dct:contributor							
12	3			rdai:P40127	restorationist collective agent of item							2	1		1	dct:contributor							
12	4				rdai:P40143	restorationist corporate body of item						3	1		1	dct:contributor							
12	4				rdai:P40159	restorationist family of item						3	1		1	dct:contributor							
12	3			rdai:P40144	modifier corporate body							1	1		1	dct:contributor							
12	4				rdai:P40132	illuminator corporate body						3	1		1	dct:contributor							
12	4				rdai:P40143	restorationist corporate body of item						3	1		1	dct:contributor							
12	3			rdai:P40160	modifier family							1	1		1	dct:contributor							
12	4				rdai:P40148	illuminator family						3	1		1	dct:contributor							
12	4				rdai:P40159	restorationist family of item						3	1		1	dct:contributor							
13	1	rdam:P30004	identifier for manifestation									1	0		0	dct:identifier							
13	2		rdam:P30065	publisher number for notated music								1	1		1	dct:identifier							
13	2		rdam:P30066	plate number for notated music								1	1		1	dct:identifier							
13	2		rdam:P30296	fingerprint								1	1		1	dct:identifier							
14	1	rdam:P30039	reproduced as manifestation									1	0		0	dct:hasFormat							
14	2		rdam:P30016	electronic reproduction of manifestation								1	1		1	dct:hasFormat							
14	2		rdam:P30038	reprinted as manifestation								1	1		1	dct:hasFormat							
15	1	rdam:P30043	reproduction of manifestation of									1	0		0	dct:isFormatOf							
15	2		rdam:P30093	reprint of manifestation of								1	1		1	dct:isFormatOf							
15	2		rdam:P30136	electronic reproduction of manifestation of								1	1		1	dct:isFormatOf							
16	1	rdam:P30048	related manifestation of manifestation									1	0		0	dct:relation							
16	2		rdam:P30020	part of manifestation								1	1		1		dct:isPartOf						
16	3			rdam:P30459	subcollection of							1	1		1		dct:isPartOf						
16	2		rdam:P30033	part manifestation								1	1		1			dct:hasPart					
16	3			rdam:P30458	subcollection							1	1		1			dct:hasPart					
17	1	rdam:P30080	distributor agent									1	0		0	dct:publisher							
17	2		rdam:P30068	film distributor agent								1	1		1	dct:publisher							
17	3			rdam:P30348	film distributor person							2	1		1	dct:publisher							
17	3			rdam:P30377	film distributor collective agent							2	1		1	dct:publisher							
17	4				rdam:P30406	film distributor corporate body						3	1		1	dct:publisher							
17	4				rdam:P30435	film distributor family						3	1		1	dct:publisher							
17	2		rdam:P30359	distributor person								1	1		1	dct:publisher							
17	3			rdam:P30348	film distributor person							2	1		1	dct:publisher							
17	2		rdam:P30388	distributor collective agent								1	1		1	dct:publisher							
17	3			rdam:P30377	film distributor collective agent							2	1		1	dct:publisher							
17	4				rdam:P30406	film distributor corporate body						3	1		1	dct:publisher							
17	4				rdam:P30435	film distributor family						3	1		1	dct:publisher							
17	3			rdam:P30417	distributor corporate body							1	1		1	dct:publisher							
17	4				rdam:P30406	film distributor corporate body						3	1		1	dct:publisher							
17	3			rdam:P30446	distributor family							1	1		1	dct:publisher							
17	4				rdam:P30435	film distributor family						3	1		1	dct:publisher							
18	1	rdam:P30117	statement of responsibility									1	0		0	dct:description							
18	2		rdam:P30105	statement of responsibility relating to title proper								1	1		1	dct:description							
18	3			rdam:P30116	parallel statement of responsibility relating to title proper							1	1		1	dct:description							
18	2		rdam:P30118	statement of responsibility relating to named revision of edition								1	1		1	dct:description							
18	3			rdam:P30112	parallel statement of responsibility relating to named revision of edition							1	1		1	dct:description							
18	2		rdam:P30119	statement of responsibility relating to series								1	1		1	dct:description							
18	3			rdam:P30113	parallel statement of responsibility relating to series							1	1		1	dct:description							
18	2		rdam:P30121	statement of responsibility relating to edition								1	1		1	dct:description							
18	3			rdam:P30115	parallel statement of responsibility relating to edition							1	1		1	dct:description							
19	1	rdam:P30124	digital file characteristic									1	0		0	dct:format							
19	2		rdam:P30006	regional encoding								1	1		1	dct:format							
19	2		rdam:P30096	encoding format								1	1		1	dct:format							
19	2		rdam:P30102	digital representation of cartographic content								1	1		1	dct:format							
19	2		rdam:P30159	resolution								1	1		1	dct:format							
19	2		rdam:P30202	encoded bitrate								1	1		1	dct:format							
20	1	rdam:P30125	sound characteristic									1	0		0	dct:format							
20	2		rdam:P30138	special playback characteristic								1	1		1	dct:format							
20	2		rdam:P30161	track configuration								1	1		1	dct:format							
20	2		rdam:P30164	groove characteristic								1	1		1	dct:format							
20	3			rdam:P30307	groove pitch							1	1		1	dct:format							
20	3			rdam:P30308	groove width							1	1		1	dct:format							
20	2		rdam:P30172	type of recording								1	1		1	dct:format							
20	2		rdam:P30201	playing speed								1	1		1	dct:format							
21	1	rdam:P30126	video characteristic									1	0		0	dct:format							
21	2		rdam:P30104	video format								1	1		1	dct:format							
21	2		rdam:P30123	broadcast standard								1	1		1	dct:format							
22	1	rdam:P30127	projection characteristic of motion picture film									1	0		0	dct:format							
22	2		rdam:P30200	projection speed								1	1		1	dct:format							
23	1	rdam:P30134	title of manifestation									1	0		0	dct:title							
23	2		rdam:P30128	variant title of manifestation								1	1		1	dct:title							
23	2		rdam:P30131	abbreviated title								1	1		1		dct:alternative						
23	2		rdam:P30156	title proper								1	1		1	dct:title							
23	3			rdam:P30203	parallel title proper							1	1		1	dct:title							
23	2		rdam:P30157	title of series								1	1		1	dct:title							
24	1	rdam:P30137	note on manifestation									1	0		0	dct:description							
24	2		rdam:P30052	note on distribution statement								1	1		1	dct:description							
24	2		rdam:P30053	note on manufacture statement								1	1		1	dct:description							
24	2		rdam:P30054	note on production statement								1	1		1	dct:description							
24	2		rdam:P30055	note on publication statement								1	1		1	dct:description							
24	2		rdam:P30057	note on statement of responsibility								1	1		1	dct:description							
24	2		rdam:P30058	note on series statement								1	1		1	dct:description							
24	2		rdam:P30064	note on edition statement								1	1		1	dct:description							
25	1	rdam:P30140	related item of manifestation									1	0		0	dct:relation							
25	2		rdam:P30303	reproduction of item of								1	1		1		dct:isFormatOf						
25	3			rdam:P30299	electronic reproduction of item of							1	1		1		dct:isFormatOf						
25	3			rdam:P30302	reprint of item of							1	1		1		dct:isFormatOf						
26	1	rdam:P30147	first alphanumeric designation of sequence									1	0		0	dct:identifier							
26	2		rdam:P30097	first alphanumeric designation of alternative sequence								1	1		1	dct:identifier							
27	1	rdam:P30148	last alphanumeric designation of sequence									1	0		0	dct:identifier							
27	2		rdam:P30098	last alphanumeric designation of alternative sequence								1	1		1	dct:identifier							
28	1	rdam:P30149	first chronological designation of sequence									1	0		0	dct:identifier							
28	2		rdam:P30099	first chronological designation of alternative sequence								1	1		1	dct:identifier							
29	1	rdam:P30150	last chronological designation of sequence									1	0		0	dct:identifier							
29	2		rdam:P30100	last chronological designation of alternative sequence								1	1		1	dct:identifier							
30	1	rdam:P30215	papermaker agent									1	0		0	dct:publisher							
30	2		rdam:P30364	papermaker person								1	1		1	dct:publisher							
30	2		rdam:P30393	papermaker collective agent								1	1		1	dct:publisher							
30	3			rdam:P30422	papermaker corporate body							1	1		1	dct:publisher							
30	3			rdam:P30451	papermaker family							1	1		1	dct:publisher							
31	1	rdam:P30216	details of applied material									1	0		0	dct:medium							
31	2		rdam:P30223	details of emulsion on microfilm and microfiche								1	1		1	dct:medium							
32	1	rdam:P30221	details of digital file characteristic									1	0		0	dct:format							
32	2		rdam:P30222	details of digital representation of cartographic content								1	1		1	dct:format							
32	2		rdam:P30224	details of encoding format								1	1		1	dct:format							
32	2		rdam:P30225	details of file type								1	1		1	dct:format							
32	2		rdam:P30275	details of regional encoding								1	1		1	dct:format							
33	1	rdam:P30241	details of projection characteristic of motion picture film									1	0		0	dct:format							
33	2		rdam:P30242	details of projection speed								1	1		1	dct:format							
34	1	rdam:P30250	details of video characteristic									1	0		0	dct:format							
34	2		rdam:P30219	details of broadcast standard								1	1		1	dct:format							
34	2		rdam:P30251	details of video format								1	1		1	dct:format							
35	1	rdam:P30276	access point for manifestation									1	0		0	dct:title							
35	2		rdam:P30294	authorized access point for manifestation								1	1		1	dct:title							
35	2		rdam:P30295	variant access point for manifestation								1	1		1	dct:title							
36	1	rdam:P30278	date of manifestation									1	0		0	dct:date							
36	2		rdam:P30007	copyright date								1	1		1		dct:dateCopyrighted						
36	2		rdam:P30008	date of distribution								1	1		1			dct:issued					
36	2		rdam:P30009	date of production								1	1		1			dct:issued					
36	2		rdam:P30010	date of manufacture								1	1		1			dct:issued					
36	2		rdam:P30011	date of publication								1	1		1			dct:issued					
37	1	rdam:P30292	manifestation statement									1	0		0	dct:description							
37	2		rdam:P30280	manifestation copyright statement								1	1		1	dct:description							
37	2		rdam:P30281	manifestation designation of sequence statement								1	1		1	dct:description							
37	2		rdam:P30282	manifestation dissertation statement								1	1		1	dct:description							
37	2		rdam:P30283	manifestation distribution statement								1	1		1	dct:description							
37	2		rdam:P30284	manifestation edition statement								1	1		1	dct:description							
37	2		rdam:P30285	manifestation frequency statement								1	1		1	dct:description							
37	2		rdam:P30286	manifestation identifier statement								1	1		1	dct:description							
37	2		rdam:P30287	manifestation manufacture statement								1	1		1	dct:description							
37	2		rdam:P30288	manifestation production statement								1	1		1	dct:description							
37	2		rdam:P30289	manifestation publication statement								1	1		1	dct:description							
37	2		rdam:P30290	manifestation regional encoding statement								1	1		1	dct:description							
37	2		rdam:P30291	manifestation series statement								1	1		1	dct:description							
37	2		rdam:P30293	manifestation title and responsibility statement								1	1		1	dct:description							
38	1	rdam:P30304	material									1	0		0	dct:medium							
38	2		rdam:P30084	applied material								1	1		1	dct:medium							
38	3			rdam:P30122	emulsion on microfilm and microfiche							1	1		1	dct:medium							
38	2		rdam:P30208	base material								1	1		1	dct:medium							
39	1	rdam:P30327	contributor agent to aggregate									1	0		0	dct:contributor							
39	2		rdam:P30311	contributor agent of music								1	1		1	dct:contributor							
39	3			rdam:P30341	contributor person of music							2	1		1	dct:contributor							
39	3			rdam:P30370	contributor collective agent of music							2	1		1	dct:contributor							
39	4				rdam:P30399	contributor corporate body of music						3	1		1	dct:contributor							
39	4				rdam:P30428	contributor family of music						3	1		1	dct:contributor							
39	2		rdam:P30315	contributor agent of cartography								1	1		1	dct:contributor							
39	3			rdam:P30312	surveyor agent							1	3		3		*dct:publisher						
39	4				rdam:P30337	surveyor person						3	1	3	1		dct:publisher						
39	4				rdam:P30366	surveyor collective agent						3	1	3	1		dct:publisher						
39	5					rdam:P30395	surveyor corporate body					6	1	3	1		dct:publisher						
39	5					rdam:P30424	surveyor family					6	1	3	1		dct:publisher						
39	3			rdam:P30338	contributor person of cartography							2	1		1	dct:contributor							
39	4				rdam:P30337	surveyor person						3	3	1	3		*dct:publisher						
39	3			rdam:P30367	contributor collective agent of cartography							2	1		1	dct:contributor							
39	4				rdam:P30366	surveyor collective agent						3	3	1	3		*dct:publisher						
39	5					rdam:P30395	surveyor corporate body					6	1	3	1		dct:publisher						
39	5					rdam:P30424	surveyor family					6	1	3	1		dct:publisher						
39	4				rdam:P30396	contributor corporate body of cartography						3	1		1	dct:contributor							
39	5					rdam:P30395	surveyor corporate body					6	3	1	3		*dct:publisher						
39	4				rdam:P30425	contributor family of cartography						3	1		1	dct:contributor							
39	5					rdam:P30424	surveyor family					6	3	1	3		*dct:publisher						
39	2		rdam:P30316	contributor agent of choreography								1	1		1	dct:contributor							
39	3			rdam:P30339	contributor person of choreography							2	1		1	dct:contributor							
39	3			rdam:P30368	contributor collective agent of choreography							2	1		1	dct:contributor							
39	4				rdam:P30397	contributor corporate body of choreography						3	1		1	dct:contributor							
39	4				rdam:P30426	contributor family of choreography						3	1		1	dct:contributor							
39	2		rdam:P30321	contributor agent of still image								1	1		1	dct:contributor							
39	3			rdam:P30343	contributor person of still image							2	1		1	dct:contributor							
39	3			rdam:P30372	contributor collective agent of still image							2	1		1	dct:contributor							
39	4				rdam:P30401	contributor corporate body of still image						3	1		1	dct:contributor							
39	4				rdam:P30430	contributor family of still image						3	1		1	dct:contributor							
39	2		rdam:P30326	contributor agent of moving image								1	1		1	dct:contributor							
39	3			rdam:P30340	contributor person of moving image							2	1		1	dct:contributor							
39	3			rdam:P30369	contributor collective agent of moving image							2	1		1	dct:contributor							
39	4				rdam:P30398	contributor corporate body of moving image						3	1		1	dct:contributor							
39	4				rdam:P30427	contributor family of moving image						3	1		1	dct:contributor							
39	2		rdam:P30328	contributor agent of text								1	1		1	dct:contributor							
39	3			rdam:P30344	contributor person of text							2	1		1	dct:contributor							
39	3			rdam:P30373	contributor collective agent of text							2	1		1	dct:contributor							
39	4				rdam:P30402	contributor corporate body of text						3	1		1	dct:contributor							
39	4				rdam:P30431	contributor family of text						3	1		1	dct:contributor							
39	2		rdam:P30331	contributor agent of speech								1	1		1	dct:contributor							
39	3			rdam:P30342	contributor person of speech							2	1		1	dct:contributor							
39	3			rdam:P30371	contributor collective agent of speech							2	1		1	dct:contributor							
39	4				rdam:P30400	contributor corporate body of speech						3	1		1	dct:contributor							
39	4				rdam:P30429	contributor family of speech						3	1		1	dct:contributor							
39	2		rdam:P30332	contributor agent of object								1	1		1	dct:contributor							
39	3			rdam:P30345	contributor person of object							2	1		1	dct:contributor							
39	3			rdam:P30374	contributor collective agent of object							2	1		1	dct:contributor							
39	4				rdam:P30403	contributor corporate body of object						3	1		1	dct:contributor							
39	4				rdam:P30432	contributor family of object						3	1		1	dct:contributor							
39	2		rdam:P30333	contributor agent of computer content								1	1		1	dct:contributor							
39	3			rdam:P30346	contributor person of computer content							2	1		1	dct:contributor							
39	3			rdam:P30375	contributor collective agent of computer content							2	1		1	dct:contributor							
39	4				rdam:P30404	contributor corporate body of computer content						3	1		1	dct:contributor							
39	4				rdam:P30433	contributor family of computer content						3	1		1	dct:contributor							
39	2		rdam:P30336	contributor person to aggregate								1	1		1	dct:contributor							
39	3			rdam:P30338	contributor person of cartography							2	1		1	dct:contributor							
39	4				rdam:P30337	surveyor person						3	3	1	3		*dct:publisher						
39	3			rdam:P30339	contributor person of choreography							2	1		1	dct:contributor							
39	3			rdam:P30340	contributor person of moving image							2	1		1	dct:contributor							
39	3			rdam:P30341	contributor person of music							2	1		1	dct:contributor							
39	3			rdam:P30342	contributor person of speech							2	1		1	dct:contributor							
39	3			rdam:P30343	contributor person of still image							2	1		1	dct:contributor							
39	3			rdam:P30344	contributor person of text							2	1		1	dct:contributor							
39	3			rdam:P30345	contributor person of object							2	1		1	dct:contributor							
39	3			rdam:P30346	contributor person of computer content							2	1		1	dct:contributor							
39	2		rdam:P30365	contributor collective agent to aggregate								1	1		1	dct:contributor							
39	3			rdam:P30367	contributor collective agent of cartography							2	1		1	dct:contributor							
39	4				rdam:P30366	surveyor collective agent						3	3	1	3		*dct:publisher						
39	5					rdam:P30395	surveyor corporate body					6	1	3	1		dct:publisher						
39	5					rdam:P30424	surveyor family					6	1	3	1		dct:publisher						
39	4				rdam:P30396	contributor corporate body of cartography						3	1		1	dct:contributor							
39	5					rdam:P30395	surveyor corporate body					6	3	1	3		*dct:publisher						
39	4				rdam:P30425	contributor family of cartography						3	1		1	dct:contributor							
39	5					rdam:P30424	surveyor family					6	3	1	3		*dct:publisher						
39	3			rdam:P30368	contributor collective agent of choreography							2	1		1	dct:contributor							
39	4				rdam:P30397	contributor corporate body of choreography						3	1		1	dct:contributor							
39	4				rdam:P30426	contributor family of choreography						3	1		1	dct:contributor							
39	3			rdam:P30369	contributor collective agent of moving image							2	1		1	dct:contributor							
39	4				rdam:P30398	contributor corporate body of moving image						3	1		1	dct:contributor							
39	4				rdam:P30427	contributor family of moving image						3	1		1	dct:contributor							
39	3			rdam:P30370	contributor collective agent of music							2	1		1	dct:contributor							
39	4				rdam:P30399	contributor corporate body of music						3	1		1	dct:contributor							
39	4				rdam:P30428	contributor family of music						3	1		1	dct:contributor							
39	3			rdam:P30371	contributor collective agent of speech							2	1		1	dct:contributor							
39	4				rdam:P30400	contributor corporate body of speech						3	1		1	dct:contributor							
39	4				rdam:P30429	contributor family of speech						3	1		1	dct:contributor							
39	3			rdam:P30372	contributor collective agent of still image							2	1		1	dct:contributor							
39	4				rdam:P30401	contributor corporate body of still image						3	1		1	dct:contributor							
39	4				rdam:P30430	contributor family of still image						3	1		1	dct:contributor							
39	3			rdam:P30373	contributor collective agent of text							2	1		1	dct:contributor							
39	4				rdam:P30402	contributor corporate body of text						3	1		1	dct:contributor							
39	4				rdam:P30431	contributor family of text						3	1		1	dct:contributor							
39	3			rdam:P30374	contributor collective agent of object							2	1		1	dct:contributor							
39	4				rdam:P30403	contributor corporate body of object						3	1		1	dct:contributor							
39	4				rdam:P30432	contributor family of object						3	1		1	dct:contributor							
39	3			rdam:P30375	contributor collective agent of computer content							2	1		1	dct:contributor							
39	4				rdam:P30404	contributor corporate body of computer content						3	1		1	dct:contributor							
39	4				rdam:P30433	contributor family of computer content						3	1		1	dct:contributor							
39	3			rdam:P30394	contributor corporate body to aggregate							1	1		1	dct:contributor							
39	4				rdam:P30396	contributor corporate body of cartography						3	1		1	dct:contributor							
39	5					rdam:P30395	surveyor corporate body					6	3	1	3		*dct:publisher						
39	4				rdam:P30397	contributor corporate body of choreography						3	1		1	dct:contributor							
39	4				rdam:P30398	contributor corporate body of moving image						3	1		1	dct:contributor							
39	4				rdam:P30399	contributor corporate body of music						3	1		1	dct:contributor							
39	4				rdam:P30400	contributor corporate body of speech						3	1		1	dct:contributor							
39	4				rdam:P30401	contributor corporate body of still image						3	1		1	dct:contributor							
39	4				rdam:P30402	contributor corporate body of text						3	1		1	dct:contributor							
39	4				rdam:P30403	contributor corporate body of object						3	1		1	dct:contributor							
39	4				rdam:P30404	contributor corporate body of computer content						3	1		1	dct:contributor							
39	3			rdam:P30423	contributor family to aggregate							1	1		1	dct:contributor							
39	4				rdam:P30425	contributor family of cartography						3	1		1	dct:contributor							
39	5					rdam:P30424	surveyor family					6	3	1	3		*dct:publisher						
39	4				rdam:P30426	contributor family of choreography						3	1		1	dct:contributor							
39	4				rdam:P30427	contributor family of moving image						3	1		1	dct:contributor							
39	4				rdam:P30428	contributor family of music						3	1		1	dct:contributor							
39	4				rdam:P30429	contributor family of speech						3	1		1	dct:contributor							
39	4				rdam:P30430	contributor family of still image						3	1		1	dct:contributor							
39	4				rdam:P30431	contributor family of text						3	1		1	dct:contributor							
39	4				rdam:P30432	contributor family of object						3	1		1	dct:contributor							
