Group no.	Hierarchy level	RDA element	Element name									Occurrence count	Hierarchical consistency code: Code 1	Code 2	Code 3	DC term							
1	4				rdae:P20399	colourist collective agent						3	1		1	dct:contributor							
1	5					rdae:P20458	colourist corporate body					6	1		1	dct:contributor							
1	5					rdae:P20517	colourist family					6	1		1	dct:contributor							
1	3			rdae:P20329	contributor agent to performance							1	1		1	dct:contributor							
1	4				rdae:P20028	animator agent						1	1		1	dct:contributor							
1	5					rdae:P20394	animator person					4	1		1	dct:contributor							
1	5					rdae:P20453	animator collective agent					4	1		1	dct:contributor							
1	6						rdae:P20512	animator corporate body				10	1		1	dct:contributor							
1	6						rdae:P20571	animator family				10	1		1	dct:contributor							
1	4				rdae:P20031	stage director agent						1	1		1	dct:contributor							
1	5					rdae:P20364	stage director person					4	1		1	dct:contributor							
1	5					rdae:P20423	stage director collective agent					4	1		1	dct:contributor							
1	6						rdae:P20482	stage director corporate body				10	1		1	dct:contributor							
1	6						rdae:P20541	stage director family				10	1		1	dct:contributor							
1	4				rdae:P20032	interviewer agent of expression						1	1		1	dct:contributor							
1	5					rdae:P20337	interviewer person of expression					4	1		1	dct:contributor							
1	5					rdae:P20396	interviewer collective agent of expression					4	1		1	dct:contributor							
1	6						rdae:P20455	interviewer corporate body of expression				10	1		1	dct:contributor							
1	6						rdae:P20514	interviewer family of expression				10	1		1	dct:contributor							
1	4				rdae:P20035	musical director agent						1	1		1	dct:contributor							
1	5					rdae:P20342	musical director person					4	1		1	dct:contributor							
1	5					rdae:P20401	musical director collective agent					4	1		1	dct:contributor							
1	6						rdae:P20460	musical director corporate body				10	1		1	dct:contributor							
1	6						rdae:P20519	musical director family				10	1		1	dct:contributor							
1	4				rdae:P20036	costume designer agent						1	1		1	dct:contributor							
1	5					rdae:P20345	costume designer person					4	1		1	dct:contributor							
1	5					rdae:P20404	costume designer collective agent					4	1		1	dct:contributor							
1	6						rdae:P20463	costume designer corporate body				10	1		1	dct:contributor							
1	6						rdae:P20522	costume designer family				10	1		1	dct:contributor							
1	4				rdae:P20038	art director agent						1	1		1	dct:contributor							
1	5					rdae:P20350	art director person					4	1		1	dct:contributor							
1	5					rdae:P20409	art director collective agent					4	1		1	dct:contributor							
1	6						rdae:P20468	art director corporate body				10	1		1	dct:contributor							
1	6						rdae:P20527	art director family				10	1		1	dct:contributor							
1	4				rdae:P20039	performer agent						1	1		1	dct:contributor							
1	5					rdae:P20011	conductor agent					1	1		1	dct:contributor							
1	6						rdae:P20285	choral conductor agent				1	1		1	dct:contributor							
1	7							rdae:P20336	choral conductor person			6	1		1	dct:contributor							
1	7							rdae:P20395	choral conductor collective agent			6	1		1	dct:contributor							
1	8								rdae:P20454	choral conductor corporate body		21	1		1	dct:contributor							
1	8								rdae:P20513	choral conductor family		21	1		1	dct:contributor							
1	6						rdae:P20286	instrumental conductor agent				1	1		1	dct:contributor							
1	7							rdae:P20368	instrumental conductor person			6	1		1	dct:contributor							
1	7							rdae:P20427	instrumental conductor collective agent			6	1		1	dct:contributor							
1	8								rdae:P20486	instrumental conductor corporate body		21	1		1	dct:contributor							
1	8								rdae:P20545	instrumental conductor family		21	1		1	dct:contributor							
1	6						rdae:P20383	conductor person				5	1		1	dct:contributor							
1	7							rdae:P20336	choral conductor person			6	1		1	dct:contributor							
1	7							rdae:P20368	instrumental conductor person			6	1		1	dct:contributor							
1	6						rdae:P20442	conductor collective agent				5	1		1	dct:contributor							
1	7							rdae:P20395	choral conductor collective agent			6	1		1	dct:contributor							
1	8								rdae:P20454	choral conductor corporate body		21	1		1	dct:contributor							
1	8								rdae:P20513	choral conductor family		21	1		1	dct:contributor							
1	7							rdae:P20427	instrumental conductor collective agent			6	1		1	dct:contributor							
1	8								rdae:P20486	instrumental conductor corporate body		21	1		1	dct:contributor							
1	8								rdae:P20545	instrumental conductor family		21	1		1	dct:contributor							
1	7							rdae:P20501	conductor corporate body			15	1		1	dct:contributor							
1	8								rdae:P20454	choral conductor corporate body		21	1		1	dct:contributor							
1	8								rdae:P20486	instrumental conductor corporate body		21	1		1	dct:contributor							
1	7							rdae:P20560	conductor family			15	1		1	dct:contributor							
1	8								rdae:P20513	choral conductor family		21	1		1	dct:contributor							
1	8								rdae:P20545	instrumental conductor family		21	1		1	dct:contributor							
1	5					rdae:P20012	actor agent					1	1		1	dct:contributor							
1	6						rdae:P20070	voice actor agent				1	1		1	dct:contributor							
1	7							rdae:P20443	voice actor collective agent			6	1		1	dct:contributor							
1	8								rdae:P20502	voice actor corporate body		21	1		1	dct:contributor							
1	6						rdae:P20369	actor person				5	1		1	dct:contributor							
1	6						rdae:P20428	actor collective agent				5	1		1	dct:contributor							
1	7							rdae:P20443	voice actor collective agent			6	1		1	dct:contributor							
1	8								rdae:P20502	voice actor corporate body		21	1		1	dct:contributor							
1	7							rdae:P20487	actor corporate body			15	1		1	dct:contributor							
1	8								rdae:P20502	voice actor corporate body		21	1		1	dct:contributor							
1	7							rdae:P20546	actor family			15	1		1	dct:contributor							
1	5					rdae:P20013	onscreen presenter agent					1	1		1	dct:contributor							
1	6						rdae:P20370	onscreen presenter person				5	1		1	dct:contributor							
1	6						rdae:P20429	onscreen presenter collective agent				5	1		1	dct:contributor							
1	7							rdae:P20488	onscreen presenter corporate body			15	1		1	dct:contributor							
1	7							rdae:P20547	onscreen presenter family			15	1		1	dct:contributor							
1	5					rdae:P20014	dancer agent					1	1		1	dct:contributor							
1	6						rdae:P20371	dancer person				5	1		1	dct:contributor							
1	6						rdae:P20430	dancer collective agent				5	1		1	dct:contributor							
1	7							rdae:P20489	dancer corporate body			15	1		1	dct:contributor							
1	7							rdae:P20548	dancer family			15	1		1	dct:contributor							
1	5					rdae:P20015	instructor agent					1	1		1	dct:contributor							
1	6						rdae:P20381	instructor person				5	1		1	dct:contributor							
1	6						rdae:P20440	instructor collective agent				5	1		1	dct:contributor							
1	7							rdae:P20499	instructor corporate body			15	1		1	dct:contributor							
1	7							rdae:P20558	instructor family			15	1		1	dct:contributor							
1	5					rdae:P20016	host agent					1	1		1	dct:contributor							
1	6						rdae:P20372	host person				5	1		1	dct:contributor							
1	6						rdae:P20431	host collective agent				5	1		1	dct:contributor							
1	7							rdae:P20490	host corporate body			15	1		1	dct:contributor							
1	7							rdae:P20549	host family			15	1		1	dct:contributor							
1	5					rdae:P20017	moderator agent					1	1		1	dct:contributor							
1	6						rdae:P20373	moderator person				5	1		1	dct:contributor							
1	6						rdae:P20432	moderator collective agent				5	1		1	dct:contributor							
1	7							rdae:P20491	moderator corporate body			15	1		1	dct:contributor							
1	7							rdae:P20550	moderator family			15	1		1	dct:contributor							
1	5					rdae:P20018	puppeteer agent					1	1		1	dct:contributor							
1	6						rdae:P20374	puppeteer person				5	1		1	dct:contributor							
1	6						rdae:P20433	puppeteer collective agent				5	1		1	dct:contributor							
1	7							rdae:P20492	puppeteer corporate body			15	1		1	dct:contributor							
1	7							rdae:P20551	puppeteer family			15	1		1	dct:contributor							
1	5					rdae:P20019	panelist agent					1	1		1	dct:contributor							
1	6						rdae:P20375	panelist person				5	1		1	dct:contributor							
1	6						rdae:P20434	panelist collective agent				5	1		1	dct:contributor							
1	7							rdae:P20493	panelist corporate body			15	1		1	dct:contributor							
1	7							rdae:P20552	panelist family			15	1		1	dct:contributor							
1	5					rdae:P20020	instrumentalist agent					1	1		1	dct:contributor							
1	6						rdae:P20376	instrumentalist person				5	1		1	dct:contributor							
1	6						rdae:P20435	instrumentalist collective agent				5	1		1	dct:contributor							
1	7							rdae:P20494	instrumentalist corporate body			15	1		1	dct:contributor							
1	7							rdae:P20553	instrumentalist family			15	1		1	dct:contributor							
1	5					rdae:P20021	commentator agent					1	1		1	dct:contributor							
